symbol,previous_resistance,breakout_candle,volume,ema20_touch,fib_pullback,adx,multi_tf,close_above_ema20,pattern,risk_reward,total
1000000BOB/USDT:USDT,0,0,9,0,0,0,7,6,7,9,38
1000000MOG/USDT:USDT,0,0,9,0,0,0,0,6,0,9,24
1000BONK/USDT:USDT,0,0,0,7,6,0,7,6,0,9,35
1000CAT/USDT:USDT,0,0,0,0,0,8,0,6,0,9,23
1000CHEEMS/USDT:USDT,0,0,0,0,0,8,0,0,0,9,17
1000FLOKI/USDT:USDT,0,0,0,0,0,0,0,0,0,9,9
1000LUNC/USDT:USDT,0,0,9,0,6,0,0,0,0,9,24
1000PEPE/USDT:USDT,0,0,9,0,0,8,7,0,7,9,40
1000RATS/USDT:USDT,0,0,9,0,0,8,0,6,0,9,32
1000SATS/USDT:USDT,0,8,9,7,0,0,7,0,0,9,40
1000SHIB/USDT:USDT,0,0,0,7,0,8,7,6,0,9,37
1000WHY/USDT:USDT,0,8,0,0,6,0,0,6,0,9,29
1000X/USDT:USDT,0,0,9,0,0,0,0,6,0,9,24
1000XEC/USDT:USDT,0,8,0,0,0,0,7,6,0,9,30
1INCH/USDT:USDT,0,0,9,0,0,8,7,6,0,9,39
1MBABYDOGE/USDT:USDT,0,0,9,0,6,0,0,0,0,9,24
A/USDT:USDT,0,0,9,0,6,0,0,6,0,9,30
A2Z/USDT:USDT,0,0,9,0,0,0,0,6,0,9,24
AAVE/USDT:USDT,0,0,0,7,0,0,7,6,7,9,36
ACE/USDT:USDT,10,0,9,0,0,0,7,6,7,9,48
ACH/USDT:USDT,0,0,9,0,0,8,0,6,0,9,32
ACT/USDT:USDT,10,8,9,0,0,8,7,6,0,9,57
ACX/USDT:USDT,0,8,0,7,0,0,7,0,0,9,31
ADA/USDT:USDT,0,0,9,0,0,8,0,6,0,9,32
AERGO/USDT:USDT,0,0,9,0,0,8,7,0,0,9,33
AERO/USDT:USDT,0,0,9,7,6,8,7,0,0,9,46
AEVO/USDT:USDT,0,0,0,0,0,0,7,6,7,9,29
AGIX/USDT:USDT,0,0,9,7,6,8,7,0,7,9,53
AGLD/USDT:USDT,10,0,9,7,0,0,7,6,7,9,55
AGT/USDT:USDT,0,8,0,0,0,0,7,6,0,9,30
AI/USDT:USDT,0,0,9,7,0,8,7,6,0,9,46
AI16Z/USDT:USDT,0,0,0,0,0,0,0,0,0,9,9
AIN/USDT:USDT,0,0,9,7,0,0,7,6,0,9,38
AIO/USDT:USDT,0,0,0,0,0,8,0,6,0,9,23
AIOT/USDT:USDT,0,0,0,7,0,0,7,6,0,9,29
AIXBT/USDT:USDT,0,0,0,7,0,8,7,0,7,9,38
AKT/USDT:USDT,0,0,9,0,6,8,0,0,0,9,32
ALCH/USDT:USDT,0,0,9,7,6,0,7,0,0,9,38
ALGO/USDT:USDT,0,0,9,0,0,0,0,0,0,9,18
ALICE/USDT:USDT,10,0,0,0,0,8,7,6,7,9,47
ALL/USDT:USDT,0,8,9,0,6,0,0,6,0,9,38
ALPACA/USDT:USDT,0,0,9,0,0,8,0,6,0,9,32
ALPHA/USDT:USDT,0,0,0,0,0,8,0,6,0,9,23
ALPINE/USDT:USDT,10,0,9,0,0,8,7,6,0,9,49
ALT/USDT:USDT,0,8,9,0,0,8,0,6,0,9,40
AMB/USDT:USDT,0,0,9,0,0,0,7,0,7,9,32
ANIME/USDT:USDT,10,0,9,0,0,0,7,6,0,9,41
ANKR/USDT:USDT,0,0,0,0,0,0,7,0,7,9,23
APE/USDT:USDT,0,0,0,0,0,0,7,0,0,9,16
API3/USDT:USDT,0,0,9,0,0,0,7,6,0,9,31
