symbol,previous_resistance,breakout_candle,volume,ema20_touch,fib_pullback,adx,multi_tf,close_above_ema20,pattern,risk_reward,total,percent,entry,stop,tp1,tp2,risk,rr1,rr2
C/USDT,0,0,0,0,6,8,7,6,7,9,43,55.8,0.26386,0.24319928571428573,0.29485107142857137,0.3155117857142856,0.020660714285714255,1.5,2.5
C98/USDT,0,0,9,0,0,0,0,6,0,9,24,31.2,0.051,0.04984285714285715,0.052735714285714275,0.05389285714285712,0.0011571428571428496,1.500000000000003,2.499999999999997
CAKE/USDT,0,0,0,0,0,8,7,6,7,9,37,48.1,2.7549,2.6230571428571428,2.9526642857142864,3.0845071428571433,0.13184285714285737,1.5000000000000018,2.4999999999999982
CARV/USDT,0,0,0,0,0,0,7,6,0,9,22,28.6,0.3141,0.307025,0.32471249999999996,0.3317875,0.007074999999999998,1.499999999999996,2.500000000000004
CAT/USDT,0,0,0,0,0,0,7,6,7,9,29,37.7,0.008476,0.007973642857142856,0.009229535714285714,0.009731892857142856,0.0005023571428571429,1.5000000000000018,2.4999999999999982
CATI/USDT,0,0,0,0,0,0,7,6,0,9,22,28.6,0.09121,0.0890217857142857,0.09449232142857145,0.09668053571428573,0.0021882142857142933,1.500000000000003,2.499999999999997
CELO/USDT,0,0,0,0,0,8,0,6,0,9,23,29.9,0.32,0.3133214285714286,0.33001785714285714,0.33669642857142856,0.006678571428571423,1.5,2.5
CELR/USDT,0,0,0,7,0,0,7,6,7,9,36,46.8,0.00803,0.007900714285714285,0.008223928571428573,0.00835321428571429,0.00012928571428571546,1.4999999999999933,2.5000000000000067
CETUS/USDT,0,0,0,0,0,0,0,6,0,9,15,19.5,0.09496,0.09139428571428572,0.10030857142857143,0.10387428571428571,0.003565714285714283,1.5,2.5
CFX/USDT,0,0,0,0,0,0,7,6,0,9,22,28.6,0.18651,0.18044607142857144,0.19560589285714286,0.20166982142857143,0.006063928571428567,1.5,2.5
CGPT/USDT,0,0,0,0,0,0,7,6,7,9,29,37.7,0.09799,0.09461142857142857,0.10305785714285713,0.10643642857142856,0.0033785714285714252,1.5,2.5
CHEEMS/USDT,0,8,0,0,0,8,7,6,7,9,45,58.4,0.0012767,0.0012230178571428572,0.001357223214285714,0.001410905357142857,5.3682142857142774e-05,1.499999999999998,2.500000000000002
CHESS/USDT,0,0,0,0,0,8,7,0,7,9,31,40.3,0.07174,0.06915571428571429,0.07561642857142856,0.07820071428571426,0.0025842857142857056,1.5,2.5
CHILLGUY/USDT,0,0,0,0,0,0,7,6,0,9,22,28.6,0.05084,0.0482625,0.05470625000000001,0.05728375000000001,0.0025775000000000034,1.5000000000000013,2.4999999999999987
CHR/USDT,0,0,0,0,0,0,0,6,0,9,15,19.5,0.1008,0.09885000000000001,0.10372499999999998,0.10567499999999999,0.0019499999999999934,1.4999999999999964,2.5000000000000036
CHZ/USDT,10,8,9,0,0,0,7,6,0,9,49,63.6,0.04339,0.042093571428571425,0.04533464285714286,0.04663107142857143,0.0012964285714285734,1.5,2.5
CKB/USDT,0,0,0,7,0,0,7,0,7,9,30,39.0,0.005183,0.005100892857142858,0.005306160714285714,0.005388267857142856,8.210714285714245e-05,1.5,2.5
COMBO/USDT,0,0,0,0,0,0,0,0,0,9,9,11.7,0.0695,0.0691525,0.07002125000000001,0.07036875000000001,0.0003475000000000006,1.5,2.5
COMP/USDT,0,0,0,0,0,0,7,6,0,9,22,28.6,45.81,45.05035714285714,46.9494642857143,47.709107142857164,0.7596428571428646,1.5,2.5
COOKIE/USDT,0,0,0,0,0,0,7,6,0,9,22,28.6,0.1373,0.13204642857142856,0.14518035714285715,0.15043392857142862,0.005253571428571441,1.4999999999999973,2.5000000000000027
COS/USDT,0,0,0,7,6,0,7,6,0,9,35,45.5,0.003293,0.003232107142857143,0.0033843392857142857,0.0034452321428571422,6.0892857142857016e-05,1.5000000000000036,2.4999999999999964
COTI/USDT,0,0,0,0,0,0,7,6,0,9,22,28.6,0.05472,0.05289714285714286,0.05745428571428571,0.05927714285714285,0.00182285714285714,1.5,2.5
