symbol,previous_resistance,breakout_candle,volume,ema20_touch,fib_pullback,adx,multi_tf,close_above_ema20,pattern,risk_reward,total,percent,entry,stop,tp1,tp2,risk,rr1,rr2
A/USDT,0,0,0,7,0,0,7,6,0,9,29,37.7,0.4837,0.4800857142857143,0.4891214285714286,0.4927357142857144,0.0036142857142857365,1.4999999999999922,2.5000000000000075
A2Z/USDT,0,0,0,0,0,0,0,6,0,9,15,19.5,0.00613,0.006073928571428571,0.006214107142857143,0.006270178571428572,5.6071428571428765e-05,1.4999999999999922,2.5000000000000075
AAVE/USDT,0,0,0,7,0,0,7,6,7,9,36,46.8,307.54,304.22964285714284,312.50553571428577,315.815892857143,3.3103571428571854,1.4999999999999913,2.5000000000000084
ACE/USDT,0,0,0,7,6,0,7,0,7,9,36,46.8,0.5969,0.58765,0.610775,0.6200249999999999,0.00924999999999998,1.5,2.5
ACH/USDT,0,0,0,0,0,8,0,6,0,9,23,29.9,0.020331,0.02016814285714286,0.020575285714285706,0.020738142857142844,0.0001628571428571382,1.5,2.5
ACT/USDT,0,0,0,7,0,8,7,6,7,9,44,57.1,0.04139,0.04049,0.042740000000000014,0.04364000000000001,0.000900000000000005,1.5000000000000038,2.499999999999996
ACX/USDT,0,0,0,0,0,0,0,0,0,9,9,11.7,0.1365,0.135275,0.1383375,0.13956250000000003,0.0012250000000000039,1.4999999999999887,2.5000000000000115
ADA/USDT,0,0,0,0,0,8,0,6,0,9,23,29.9,0.911,0.9030178571428571,0.9229732142857144,0.9309553571428574,0.007982142857142938,1.5,2.5
AERGO/USDT,0,0,0,0,0,0,0,6,0,9,15,19.5,0.10785,0.10729107142857142,0.10868839285714288,0.10924732142857146,0.0005589285714285852,1.5,2.5
AERO/USDT,0,0,0,7,6,0,7,6,7,9,42,54.5,1.3211,1.3060107142857142,1.3437339285714285,1.3588232142857142,0.015089285714285694,1.5,2.5
AEVO/USDT,0,0,0,0,0,0,0,6,0,9,15,19.5,0.09884,0.09766107142857143,0.10060839285714285,0.10178732142857141,0.0011789285714285669,1.5,2.5
AGIX/USDT,0,0,0,0,0,0,0,0,0,9,9,11.7,0.7009,0.6973955,0.70615675,0.70966125,0.0035045000000000215,1.5,2.5
AGLD/USDT,0,0,0,0,0,0,0,6,0,9,15,19.5,0.6781,0.674325,0.6837625000000002,0.6875375000000002,0.003775000000000084,1.5,2.5
AGT/USDT,0,0,9,0,0,8,7,6,7,9,46,59.7,0.00715,0.006867571428571429,0.007573642857142857,0.00785607142857143,0.0002824285714285715,1.4999999999999984,2.5000000000000013
AI/USDT,0,0,0,0,0,8,0,6,0,9,23,29.9,0.14809,0.14563107142857143,0.15177839285714284,0.15423732142857144,0.0024589285714285702,1.4999999999999944,2.5000000000000058
AI16Z/USDT,0,0,0,0,0,8,0,6,0,9,23,29.9,0.1231,0.12035,0.127225,0.129975,0.0027500000000000024,1.5,2.5
AIN/USDT,0,0,9,0,6,0,0,6,0,9,30,39.0,0.13474,0.1301892857142857,0.14156607142857144,0.14611678571428574,0.004550714285714297,1.5,2.5
AIO/USDT,0,0,9,0,0,8,7,6,7,9,46,59.7,0.20259,0.18265642857142858,0.2324903571428571,0.25242392857142854,0.01993357142857141,1.4999999999999993,2.500000000000001
AIOT/USDT,0,0,9,0,0,8,0,0,0,9,26,33.8,1.4043,1.3927353571428571,1.4216469642857146,1.4332116071428576,0.011564642857142982,1.5,2.5
AIXBT/USDT,0,0,0,0,0,0,7,6,7,9,29,37.7,0.12319,0.1199032142857143,0.12812017857142854,0.13140696428571425,0.0032867857142857004,1.5,2.5
